id,traditional,simplified,pinyin,meaning,LEVEL
6483,區分,区分,qūfēn,"section, demarcate, compart, sectionalize, zone, screen, compartmentalize, individuate, differentiation, distinguish, mark off, secern, district, segment, separate, mark, sieve, differentiate, mark out, classify, divide, ramify, screen out, set apart, sort",6
6484,取款機,取款机,qǔkuǎnjī,ATM,6
6485,權,权,quán,"surname Quan, authority, power, right, (literary) to weigh, expedient, temporary",6
6486,全力,全力,quánlì,"all one's strength, wholehearted dedication",6
6487,權力,权力,quánlì,"influence, rod, authoritativeness, clutches, whip_hand, dominance, say-so, reins, force, emirate, might, pretension, station, commission, grasp, leverage, danger, authority, place, power, arm, disposal, puissance",6
6488,全新,全新,quánxīn,"all new, completely new",6
6489,券,券,quàn,"bond (esp. document split in two, with each party holding one half), contract, deed (i.e. title deeds), ticket, voucher, certificate, variant of 券[quan4]",6
6490,缺陷,缺陷,quēxiàn,"gap, deficiency, trouble, flaw, blemishment, blemish, shortage, limitation, incapacity, defect, shortcoming, deformity, defacement, drawback, disfigurement, disadvantage",6
6491,讓座,让座,ràng zuò,to give up one's seat for sb,6
6492,熱點,热点,rèdiǎn,"hot spot, point of special interest",6
6493,熱水,热水,rèshuǐ,hot water,6
6494,熱水器,热水器,rèshuǐqì,water heater,6
6495,熱線,热线,rèxiàn,hotline (communications link),6
6496,人權,人权,rénquán,human rights,6
6497,日夜,日夜,rìyè,"day and night, around the clock",6
6498,卻是,却是,quèshì,"nevertheless, actually, the fact is ...",6
6499,認同,认同,rèntóng,"identify, have meeting of the minds",6
6500,融合,融合,rónghé,"mix together, fuse, stick together",6
6501,融入,融入,róngrù,"melt, thaw, blend, merge",6
6502,日語,日语,Rìyǔ,Japanese language,6
6503,如,如,rú,"according to, in accordance with, such as, as if, like, for example",6
6504,如一,如一,rúyī,As one,6
6505,乳製品,乳制品,rǔzhìpǐn,dairy products,6
6506,入,入,rù,"agree with, set (of sun), set, take in, join, receive, be admitted into, become a member of, enter, descend, infiltrate, conform with, conform to, interlard",6
6507,入學,入学,rù xué,"enter a school, enrol, college, enter school, enter, start school, matriculate, enter college",6
6508,若,若,ruò,"conj.: if, as if",6
6509,塞,塞,sāi,"fill in, stuff in, stuff, fill, squeeze in, bung, spile, squeeze, line, stick, fill/stuff in",6
6510,賽,赛,sài,"to compete, competition, match, to surpass, better than, superior to, to excel",6
6511,賽場,赛场,sàichǎng,"racetrack, field (for athletics competition)",6
6512,三明治,三明治,sānmíngzhì,"sandwich (loanword), CL:個|个[ge4]",6
6513,山峰,山峰,shānfēng,(mountain) peak,6
6514,山谷,山谷,shāngǔ,mountain valley,6
6515,喪失,丧失,sàngshī,"cost, forfeiture, forfeit, give_away, lapse, loss, bereaved, lose, jump",6
6516,傷口,伤口,shāngkǒu,"wound, cut",6
6517,傷亡,伤亡,shāngwáng,"casualties, injuries and deaths",6
6518,山坡,山坡,shānpō,"hillside, mountain slope",6
6519,傷員,伤员,shāngyuán,wounded person,6
6520,商城,商城,shāngchéng,"see 商城縣|商城县[Shang1 cheng2 xian4], shopping center, department store",6
6521,上市,上市,shàng shì,go/appear on market,6
6522,上當,上当,shàng dàng,"be duped, be taken in, get_stuck, be fooled, be tricked",6
6523,上演,上演,shàngyǎn,"produce, bring on, put on stage, play, stage, mount, perform, bring out, performance",6
6524,上帝,上帝,Shàngdì,"Creator, god, Yahveh, Almighty, almighty, Godhead, Jehovah, Being, Supreme_Being, God Almighty, Maker, Allah, deity, omnipotent, king, abba, Omniscience, omniscient, God, creator, Providence, Omnipotence, Deus, providence, Divine, lording, Lord, lord, maker, Supreme Being, judge, Dominus, Heaven, All-father, Adonai, Father-God, divinity, Father",6
6525,上臺,上台,shàng tái,enter,6
6526,勺,勺,sháo,"spoon, ladle, CL:把[ba3], abbr. for 公勺[gong1 shao2], centiliter (unit of volume)",6
6527,舌頭,舌头,shétou,"lingua, clack, tongue, clapper, ability to talk, glossa, enemy soldier captured to extract inform, enemy soldier captured to extract information, an enemy soldier captured for the purpose of extra",6
6528,少兒,少儿,shàoér,child,6
6529,設計師,设计师,shèjìshī,"architect, designer, stylist",6
6530,深化,深化,shēnhuà,"to deepen, to intensify",6
6531,涉及,涉及,shèjí,"come to, pertain, involvement, implicate, entail, relate, cover, deal, concern, bear on, run_on, involve, touch on, refer, touch upon, deal with, touch, come_to, relate to",6
6532,深深,深深,shēnshēn,"deep, profound",6
6533,審查,审查,shěnchá,"examine, investigate",6
6534,升級,升级,shēng jí,"upgrade, go up (in grade/etc.), escalate",6
6535,升學,升学,shēng xué,enter higher school,6
6536,生活費,生活费,shēnghuófèi,"cost of living, living expenses, alimony",6
6537,省錢,省钱,shěngqián,to save money,6
6538,升值,升值,shēngzhí,"revalue, appreciate",6
6539,聖誕節,圣诞节,Shèngdàn Jié,"Christmas time, Christmas season, Christmas",6
6540,師父,师父,shīfu,"guru, address for nun/etc., teacher, tutor, address for monk, professional, master, nun, a polite form of address to a monk or nun, address for monk/nun/etc., etc.",6
6541,盛行,盛行,shèngxíng,"be current, be in vogue",6
6542,時節,时节,shíjié,"season, time",6
6543,師生,师生,shī-shēng,teacher and student,6
6544,時時,时时,shíshí,"always, constantly, often",6
6545,時期,时期,shíqī,"epoch, season, date, period_of_time, phase, day, occasion, estate, period, length, period (of time), phase angle, stage, conjuncture, chapter, times, era, leg, guardianship",6
6546,時裝,时装,shízhuāng,"fashion, fashionable clothes",6
6547,時而,时而,shíér,"occasionally, from time to time",6
6548,識,识,shí,"know, recognize",6
6549,實踐,实践,shíjiàn,practice,6
6550,食慾,食欲,shíyù,appetite,6
6551,市民,市民,shìmín,"citizen, burgess, citizenry, metropolitan, townsman, townsfolk, town, towner, civic, residents of a city, townee, burgher, townspeople",6
6552,試點,试点,shìdiǎn,"test point, to carry out trial, pilot scheme",6
6553,適當,适当,shìdàng,"beseem, proper, suitable, suit",6
6554,事後,事后,shìhòu,"after the event, in hindsight, in retrospect",6
6555,收藏,收藏,shōucáng,"collect, store up",6
6556,識字,识字,shí zì,to learn to read,6
6557,收養,收养,shōuyǎng,"to take in and care for (an elderly person, a dog etc), to adopt (a child), adoption",6
6558,手續費,手续费,shǒuxùfèi,"service charge, processing fee, commission",6
6559,收取,收取,shōuqǔ,"collect, gather",6
6560,首,首,shǒu,m.[general],6
6561,首腦,首脑,shǒunǎo,"head (of state), summit (meeting), leader",6
6562,首席,首席,shǒuxí,"chief (representative, correspondent etc)",6
6563,首次,首次,shǒucì,"first, first time, for the first time",6
6564,書房,书房,shūfáng,"study (room), studio, CL:間|间[jian1]",6
6565,首相,首相,shǒuxiàng,prime minister (of Japan or UK etc),6
6566,薯片,薯片,shǔpiàn,fried potato chips,6
6567,雙打,双打,shuāngdǎ,"foursome, doubles",6
6568,爽,爽,shuǎng,comfortable,6
6569,水泥,水泥,shuǐní,cement,6
6570,稅,税,shuì,"droit, tax, geld, due, scot, exaction, capital levy, gabelle, duty, taxation, revenue enhancement",6
6571,順,顺,shùn,"to obey, to follow, to arrange, to make reasonable, along, favorable",6
6572,薯條,薯条,shǔtiáo,"french fries, french fried potatoes, chips",6
6573,說明書,说明书,shuōmíngshū,"(technical) manual, (book of) directions, synopsis (of play/etc.)",6
6574,司長,司长,sīzhǎng,bureau chief,6
6575,說實話,说实话,shuō shíhuà,"to speak the truth, truth to tell, frankly",6
6576,死亡,死亡,sǐwáng,be dead/doomed,6
6577,四處,四处,sìchù,"about, all around, everywhere, everyplace, all over, throughout, around",6
6578,寺,寺,sì,"Buddhist temple, mosque, government office (old)",6
6579,送禮,送礼,sòng lǐ,to give a present,6
6580,送行,送行,sòng xíng,"to see someone off, to throw someone a send-off party",6
6581,素質,素质,sùzhì,"calibre, fibre, stuff, vocation, diathesis, caliber, character, strain, predisposition, quality, timber",6
6582,算是,算是,suànshì,"regard_as, considered to be",6
6583,雖,虽,suī,"conj.: though, although, even if",6
6584,算了,算了,suànle,"Forget about it., That's enough!",6
6585,踏實,踏实,tāshi,"dependable, at ease, solid",6
6586,歲數,岁数,suìshu,age (number of years old),6
6587,塔,塔,tǎ,"pagoda, stupa, tower",6
6588,踏,踏,tà,"tread, trample, stamp, step, step on",6
6589,所,所,suǒ,that which,6
6590,檯燈,台灯,táidēng,"desk lamp, table lamp",6
6591,嘆氣,叹气,tàn qì,"to sigh, to heave a sigh",6
6592,探索,探索,tànsuǒ,"explore, probe",6
6593,太陽能,太阳能,tàiyángnéng,solar energy,6
6594,探討,探讨,tàntǎo,"inquire into, explore",6
6595,趟,趟,tàng,m.[activity],6
6596,掏,掏,tāo,"to fish out (from pocket), to scoop, variant of 掏[tao1]",6
6597,特大,特大,tèdà,Extraordinary,6
6598,特地,特地,tèdì,"purposely, specially, on purpose",6
6599,特,特,tè,"unusual, special, extraordinarily",6
6600,特快,特快,tèkuài,"express (train, delivery etc)",6
6601,疼痛,疼痛,téngtòng,"pain, soreness, fester, suffer, hurt, ache, sore",6
6602,特意,特意,tèyì,"specially, intentionally",6
6603,踢,踢,tī,"shin, spurn, drop-kick, prick, boot, kick, toe, dropkick, play, lunge, punt",6
6604,提交,提交,tíjiāo,"to submit (a report etc), to refer (a problem) to sb",6
6605,提升,提升,tíshēng,"promote, hoist, elevate",6
6606,天然,天然,tiānrán,natural,6
6607,天堂,天堂,tiāntáng,"paradise, heaven",6
6608,田,田,tián,"farmland, glebe, cropland, Surname, field, plow, Tian",6
6609,天下,天下,tiānxià,"rule, world, China, domination, everywhere under heaven",6
6610,添,添,tiān,"add, fuel, appose, addition, increase, have a baby",6
6611,田徑,田径,tiánjìng,"track and field, track-and-field, athlete, athletics, sport",6
6612,跳水,跳水,tiàoshuǐ,dive,6
6613,通報,通报,tōngbào,"to inform, to notify, to announce, circular, bulletin, (scientific) journal",6
6614,聽取,听取,tīngqǔ,"to hear (news), to listen to",6
6615,通道,通道,tōngdào,"path, scuttle, headway, corridor, passageway, gateway, gallery, close, walkway, areaway, hatchway, thoroughfare, lobby, winze, passage, aisle, opening, gangway, gap, passage(way), clearance, passing, headroom, enterclose, inlet, jackladder, access, byway",6
6616,通紅,通红,tōnghóng,"very red, red through and through, to blush (deep red)",6
6617,通行,通行,tōngxíng,"pass/go through, be current or of general use",6
6618,通話,通话,tōnghuà,"converse, communicate by telephone",6
6619,同,同,tóng,"det.: simialr, same",6
6620,同胞,同胞,tóngbāo,"offspring of same parents, paisano, neighbour, countrymen, countryfolk, fellow countryman, neighbor, compatriot, countryman, cousin",6
6621,同期,同期,tóngqī,"the corresponding time period (in a different year etc), concurrent, synchronous",6
6622,通訊,通讯,tōngxùn,"communication, news report, newsletter",6
6623,同行,同行,tóngháng,"person of the same profession, of the same trade, occupation or industry, to journey together",6
6624,銅牌,铜牌,tóngpái,"bronze medal, bronze plaque bearing a business name or logo etc, CL:枚[mei2]",6
6625,同一,同一,tóngyī,"identical, the same",6
6626,頭疼,头疼,tóuténg,headache,6
6627,投票,投票,tóu piào,"ballot, tender, bid, poll, cast, cast a vote, vote",6
6628,圖書,图书,túshu,"picture_book, books",6
6629,透露,透露,tòulù,"expose, disclose, divulge, develop, impart, unrip, confide, sound, fall, disembosom, get around, reveal, let_on, disclosure, let on, leakage, divulgence, get out, discover, let out, leak, declare, break, give away, bring out",6
6630,途徑,途径,tújìng,"track, path, pathway, footpath, avenue, gateway, channel, road, way, pipeline, curriculum",6
6631,徒弟,徒弟,túdi,"apprentice, disciple",6
6632,土,土,tǔ,"soil, earth, clay, land",6
6633,團隊,团队,tuánduì,team,6
6634,退票,退票,tuìpiào,"to bounce (a check), to return a ticket, ticket refund",6
6635,吞,吞,tūn,"to swallow, to take",6
6636,推出,推出,tuīchū,present to public,6
6637,托,托,tuō,"hold in palm, support from under, serve as foil, set off, plead, give as a pretext, rely on, entrust, put lining in",6
6638,拖,拖,tuō,"pull, drag, haul",6
6639,拖鞋,拖鞋,tuōxié,"slippers, sandals, flip-flops, CL:雙|双[shuang1],隻|只[zhi1]",6
6640,挖,挖,wā,"scrape, scoop up, scoop, pick, excavate, excavation, grub, lift out, take up, scoop out, dig, grave",6
6641,娃娃,娃娃,wáwa,"mammet, baby, doll, child",6
6642,外幣,外币,wàibì,foreign currency,6
6643,外部,外部,wàibù,"outer, surface, external, outwall, outside, exterior",6
6644,外出,外出,wàichū,go out,6
6645,哇,哇,wa,Wah!,6
6646,外科,外科,wàikē,"surgery, chirurgery, surgical, surgical department",6
6647,外觀,外观,wàiguān,"shell, outward appearance, show, externality, visual aspect, exterior, effect, superficies, look, likeness, appearance, facade, surface, presentment, apparel, impression, facies, aspect, complexion, resemblance, semblance, guise, frontage, outwardness, rind, garb, showing, face, veneer, outside, garment, getup",6
6648,外衣,外衣,wàiyī,"outer clothing, semblance, appearance",6
6649,外來,外来,wàilái,"foreign, adventive, externally, incoming, external, outside, exotic",6
6650,外資,外资,wàizī,foreign capital,6
6651,外頭,外头,wàitou,"outside, out",6
6652,彎曲,弯曲,wānqū,distort,6
6653,頑皮,顽皮,wánpí,naughty,6
6654,頑強,顽强,wánqiáng,"tenacious, hard to defeat",6
6655,王后,王后,wánghòu,"queen, CL:個|个[ge4],位[wei4]",6
6656,王子,王子,wángzǐ,"king's son, prince",6
6657,往後,往后,wǎnghòu,"from now on, in the future, time to come",6
6658,網吧,网吧,wǎngbā,Internet café,6
6659,網頁,网页,wǎngyè,web page,6
6660,往年,往年,wǎngnián,"in former years, in previous years",6
6661,望見,望见,wàngjiàn,"to espy, to spot",6
6662,危機,危机,wēijī,"ambush, clutch, climacteric, crisis, precipice, hump, conjuncture, juncture, sharpness, gravity, edge",6
6663,威脅,威胁,wēixié,threat,6
6664,往來,往来,wǎnglái,"contact, intercourse",6
6665,微波爐,微波炉,wēibōlú,"microwave oven, CL:臺|台[tai2]",6
6666,維生素,维生素,wéishēngsù,vitamin,6
6667,為此,为此,wèicǐ,"for this reason, with regards to this, in this respect, in order to do this, to this end",6
6668,為何,为何,wèihé,"why, for what reason",6
6669,臥鋪,卧铺,wòpù,"a bed (on a train), a couchette",6
6670,文娛,文娱,wényú,"cultural recreation, entertainment",6
6671,無邊,无边,wúbiān,"without boundary, not bordered",6
6672,烏雲,乌云,wūyún,black cloud,6
6673,無關,无关,wúguān,have nothing to do with,6
6674,物品,物品,wùpǐn,"whatchamacallit, sundry, stuff, commodity, affair, physical object, goods, article, object, content, whatsis, res, sundries",6
6675,無效,无效,wúxiào,"of/to no avail, null and void",6
6676,誤,误,wù,"mistake, error, to miss, to harm, to delay, to neglect, mistakenly",6
6677,舞蹈,舞蹈,wǔdǎo,"dancing, saltation, nautch, dance, terpsichore, choreography, stage dancing",6
6678,西班牙語,西班牙语,Xībānyáyǔ,Spanish language,6
6679,吸毒,吸毒,xī dú,take drugs,6
6680,犧牲,牺牲,xīshēng,"sacrifice oneself, die martyr's death, do sth. at the expense of self or sb. else",6
6681,洗衣粉,洗衣粉,xǐyīfěn,"laundry detergent, washing powder",6
6682,細胞,细胞,xìbāo,cell,6
6683,戲曲,戏曲,xìqǔ,"traditional opera, drama, trad. opera, singing parts in ^chuan2 qi2 ^ and ^za2, singing parts in ^chuan2qi2^ and ^za2ju4^",6
6684,細菌,细菌,xìjūn,"bacillus, bacilli, bacteria, B, bacteriological, microbe, contaminant, bacterium, clump, germ, microphyte, bacterial",6
6685,先鋒,先锋,xiānfēng,"vanguard, pioneer",6
6686,嫌,嫌,xián,"dislike, mind",6
6687,顯出,显出,xiǎn chū,"to express, to exhibit",6
6688,險,险,xiǎn,"danger, dangerous, rugged",6
6689,陷入,陷入,xiànrù,"plunge, be immersed in, land oneself in, slump, be caught in, lapse, launch, get_into, fall_in, invaginate, be deep in, engulf, run_into, fall_into, be lost/immersed in, be lost, sink into, tangle, fall into, immerse, sink, be lost in, bed, immersed in, get bogged down in, land, sink/fall into",6
6690,響聲,响声,xiǎngshēng,noise,6
6691,線路,线路,xiànlù,"wiring, line, route, circuit",6
6692,想不到,想不到,xiǎngbudào,unable to anticipate,6
6693,消耗,消耗,xiāohào,"consume, use up, deplete",6
6694,消滅,消灭,xiāomiè,"eradicate, die out, eliminate, abolish, wipe out, annihilate, kill, slake, decimate, carry off, disappear, exterminate, lapse, expunge, abolition, knock out, quell, destroy, pass away, kill off, deafen, extermination, detruncate, liquidate, snuff_out, snuff out, extirpate, snuff, elimination, perish, discreate, vanish, extinguish",6
6695,小費,小费,xiǎofèi,"tip, gratuity",6
6696,小麥,小麦,xiǎomài,"wheat, CL:粒[li4]",6
6697,小於,小于,xiǎoyú,"less than, <",6
6698,笑臉,笑脸,xiàoliǎn,"smiling face, smiley :) ☺, CL:副[fu4]",6
6699,曉得,晓得,xiǎode,"tell, know, ken",6
6700,笑容,笑容,xiàoróng,"grinning, smiling expression, laugh, smiling, a smile, a smiling face, smile, grin",6
6701,笑聲,笑声,xiàoshēng,laughter,6
6702,協會,协会,xiéhuì,"an association, a society, CL:個|个[ge4],家[jia1]",6
6703,協商,协商,xiéshāng,"consult, talk things over",6
6704,協調,协调,xiétiáo,"coordinate, harmonize, bring into line",6
6705,寫字樓,写字楼,xiězìlóu,office building,6
6706,協助,协助,xiézhù,"assist, help",6
6707,寫字檯,写字台,xiězìtái,writing desk,6
6708,心願,心愿,xīnyuàn,breathing,6
6709,心臟,心脏,xīnzàng,"ticker, cardiac, center, pump, heart",6
6710,心靈,心灵,xīnlíng,"psychical, mind, psyche, soul, spirit, mens, heart",6
6711,心臟病,心脏病,xīnzàngbìng,heart disease,6
6712,新人,新人,xīnrén,newlywed,6
6713,新興,新兴,xīnxīng,"burgeoning, new and developing, newly_arisen, rising",6
6714,薪水,薪水,xīnshui,"stipend, emolument, remuneration, screw, pay, wages, earnings, fee, compensation, pay_packet, salary, wage, living",6
6715,信仰,信仰,xìnyǎng,belief,6
6716,信用,信用,xìnyòng,"honour, trustfulness, confidence, trustingness, trustworthiness, repute, affiance, credit, reposal, trust, tick, reputation, credence, jawbone, honor",6
6717,行程,行程,xíngchéng,"throw, travel, tenor, itinerary, route, journey, route/distance of travel, distance of travel, stroke, route of travel",6
6718,興旺,兴旺,xīngwàng,"prosperous, thriving, to prosper, to flourish",6
6719,形,形,xíng,"form, shape, body, entity",6
6720,凶手,凶手,xiōngshǒu,"murderer, assassin",6
6721,袖珍,袖珍,xiùzhēn,"pocket-sized, pocket (book etc)",6
6722,修車,修车,xiūchē,to repair a bike (car etc),6
6723,凶,凶,xiōng,"vicious, fierce, ominous, inauspicious, famine, variant of 兇|凶[xiong1]",6
6724,懸,悬,xuán,"to hang or suspend, to worry, public announcement, unresolved, baseless, without foundation",6
6725,旋轉,旋转,xuánzhuǎn,"revolve, gyrate, spin",6
6726,選拔,选拔,xuǎnbá,to select the best,6
6727,學會,学会,xué huì,"learned society, (scholarly) association",6
6728,選舉,选举,xuǎnjǔ,election,6
6729,學員,学员,xuéyuán,"trainee, member of institution of learning, student",6
6730,血液,血液,xuèyè,blood,6
6731,血管,血管,xuèguǎn,"afferent, vas, vena, blood_vessel, vessel, vein, blood vessel",6
6732,壓迫,压迫,yāpò,"oppress, repress, constrict",6
6733,循環,循环,xúnhuán,"circulate, cycle.circulatory system",6
6734,煙花,烟花,yānhuā,"fireworks, prostitute (esp. in Yuan theater)",6
6735,沿海,沿海,yánhǎi,"coast, coastal, along the coast, littoral",6
6736,沿,沿,yán,along,6
6737,沿著,沿着,yánzhe,"to go along, to follow",6
6738,研發,研发,yánfā,"research and develop, R&D, research and develop something, research and development",6
6739,眼看,眼看,yǎnkàn,"see sth. happen, watch helplessly",6
6740,演奏,演奏,yǎnzòu,give instrumental performance,6
6741,宴會,宴会,yànhuì,"banquet, feast, dinner party, CL:席[xi2],個|个[ge4]",6
6742,仰,仰,yǎng,"surname Yang, to face upward, to look up, to admire, to rely on",6
6743,洋,洋,yáng,"ocean, vast, foreign, silver dollar or coin",6
6744,養老,养老,yǎng lǎo,"to provide for the elderly (family members), to enjoy a life in retirement",6
6745,樣,样,yàng,m.[kind],6
6746,氧氣,氧气,yǎngqì,"O, atomic number 8, oxygen",6
6747,藥品,药品,yàopǐn,"pharmaceutical, medicines and chemical reagents, drug, restorative",6
6748,要不然,要不然,yàoburán,"conj.: otherwise, or else, or",6
6749,要好,要好,yàohǎo,"to be on good terms, to be close friends, striving for self-improvement",6
6750,要麼,要么,yàome,"or, either one or the other",6
6751,要素,要素,yàosù,"basics, ingredient, essential, key element, constituent, fashioning, element, core, making, stuff, essential factor, factor, essence, strand, elemental, devising, chemistry, requisite, momentum",6
6752,野,野,yě,"wild, undomesticated",6
6753,野生,野生,yěshēng,"desert, wild, godforsaken, waste, feral, uncultivated",6
6754,醫藥,医药,yīyào,"medicament, medicine, curative, medication, remedy, physic",6
6755,依次,依次,yīcì,"in order, in succession",6
6756,依賴,依赖,yīlài,rely/depend on,6
6757,一次性,一次性,yīcìxìng,"one-off (offer), one-time, single-use, disposable (goods)",6
6758,一道,一道,yīdào,together,6
6759,一代,一代,yīdài,generation,6
6760,一貫,一贯,yīguàn,"consistent, persistent, all along",6
6761,一路上,一路上,yīlùshàng,All the way,6
6762,儀器,仪器,yíqì,"instrumentation, device, setup, apparatus, instrumental, instrument, armamentarium",6
6763,儀式,仪式,yíshì,"religious rite, ceremonial occasion, deeds, practice, form, rituality, office, formality, ritual, circumstance, ceremony, formalness, exercise, powwow, observance, ceremonial, rite, works",6
6764,一番,一番,yì fān,Some,6
6765,遺憾,遗憾,yíhàn,"regret, pity",6
6766,一模一樣,一模一样,yīmú-yīyàng,"exactly the same (idiom), carbon copy, also pr. [yi1 mo2 yi1 yang4]",6
6767,一時,一时,yīshí,"a period of time, a while, for a short while, temporary, momentary, at the same time",6
6768,一同,一同,yītóng,together,6
6769,一齊,一齐,yīqí,"simul, in unison, together, simultaneously",6
6770,一行,一行,yīxíng,"party, delegation",6
6771,藝人,艺人,yìrén,"creative person, artiste, entertainer, artist, artisan, cackler, actor, handcraftsman, performer",6
6772,議題,议题,yìtí,"item on the agenda, head, question, topic for discussion, topic for/under discussion, topic under discussion, subject under discussion, under discussion, topic for",6
6773,異常,异常,yìcháng,"unusual, extraordinary, abnormal",6
6774,意想不到,意想不到,yìxiǎngbùdào,"unexpected, previously unimagined",6
6775,意願,意愿,yìyuàn,"will, wish, desire, inclination, aspiration, request, pleasure",6
6776,因素,因素,yīnsù,"consideration, ingredient, constituent, factor, strand, component, element",6
6777,因,因,yīn,"conj.: because, as",6
6778,陰謀,阴谋,yīnmóu,"plot, conspiracy",6
6779,音量,音量,yīnliàng,"intensity, volume, quantity, loudness, volume of sound",6
6780,陰影,阴影,yīnyǐng,"umbrage, shadow, shadiness, hatching, spectre, hatch, blight, umbra, penumbra, cloud, umber, shade, shadowiness",6
6781,音像,音像,yīnxiàng,"audio and video, audiovisual",6
6782,隱私,隐私,yǐnsī,"secrets, private business, privacy",6
6783,隱藏,隐藏,yǐncáng,"cache, hold back, hidden, blot_out, suppress, disguise, concealment, remain under cover, lurk, secrete, reserve, recess, hoodwink, dissemble, stash, veil, hold in, bury, hide, conceal, occult, mask, ensconce, cover_up, palliate, obscure, hoard",6
6784,印,印,yìn,"print, engrave",6
6785,迎來,迎来,yínglái,Ushered,6
6786,英雄,英雄,yīngxióng,hero,6
6787,影迷,影迷,yǐngmí,"film enthusiast, movie fan, CL:個|个[ge4]",6
6788,影星,影星,yǐngxīng,film star,6
6789,用處,用处,yòngchu,"use, value, practical application, function, purpose, point, usefulness, mileage, role",6
6790,應急,应急,yìng jí,"to respond to an emergency, to meet a contingency, (attributive) emergency",6
6791,用法,用法,yòngfǎ,"hang, usage, use",6
6792,用得著,用得着,yòngdezháo,"to be able to use, useable, to have a use for sth, (in interrogative sentence) to be necessary to",6
6793,應對,应对,yìngduì,"reply, answer",6
6794,用心,用心,yòng xīn,be diligent/attentive,6
6795,優質,优质,yōuzhì,excellent quality,6
6796,用品,用品,yòngpǐn,"succedaneum, articles for use, replacer, substitute",6
6797,遊玩,游玩,yóuwán,"to amuse oneself, to have fun, to go sightseeing, to take a stroll",6
6798,遊人,游人,yóurén,a tourist,6
6799,遊戲機,游戏机,yóuxìjī,"video game, game machine",6
6800,遊行,游行,yóuxíng,"march, parade, demonstration",6
6801,有關,有关,yǒuguān,be related,6
6802,有沒有,有没有,yǒuméiyǒu,have or not have,6
6803,有事,有事,yǒushì,"be occupied/busy, if problems arise",6
6804,於,于,yú,"in, at, to, from, out of, by",6
6805,娛樂,娱乐,yúlè,"amusement, entertainment, recreation",6
6806,愉快,愉快,yúkuài,"be happy, be cheerful",6
6807,與,与,yǔ,"and, together with, to give",6
6808,宇航員,宇航员,yǔhángyuán,astronaut,6
6809,預約,预约,yùyuē,make an appointment,6
6810,雨衣,雨衣,yǔyī,"raincoat, CL:件[jian4]",6
6811,元素,元素,yuánsù,element,6
6812,園,园,yuán,"surname Yuan, land used for growing plants, site used for public recreation",6
6813,園地,园地,yuándì,"special page in periodical, special section in periodical, park/garden area, special section, croft, page in periodical, garden area, special section/page in periodical, garden plot, park area, field, scope, park",6
6814,原,原,yuán,"originally, formerly",6
6815,原告,原告,yuángào,"complainant, plaintiff",6
6816,原諒,原谅,yuánliàng,"excuse, pardon",6
6817,圓珠筆,圆珠笔,yuánzhūbǐ,"ballpoint pen, CL:支[zhi1],枝[zhi1]",6
6818,緣故,缘故,yuángù,"score, grounds, reason, cause, sake",6
6819,援助,援助,yuánzhù,"support, aid",6
6820,遠遠,远远,yuǎnyuǎn,distant,6
6821,遠離,远离,yuǎnlí,"be far away, stand aloof, be far off (the mark/etc.)",6
6822,遠方,远方,yuǎnfāng,"distance, beyond, beyondness, distant place, corner",6
6823,暈,晕,yūn,"confused, dizzy, giddy, to faint, to swoon, to lose consciousness, to pass out, dizzy, halo, ring around moon or sun",6
6824,約定,约定,yuēdìng,agree upon,6
6825,運作,运作,yùnzuò,"operate, work",6
6826,樂曲,乐曲,yuèqǔ,"composition, piece of music, music, musical composition, piece, number, opus",6
6827,允許,允许,yǔnxǔ,"permit, allow",6
6828,暈車,晕车,yùn chē,to be carsick,6
6829,雜,杂,zá,"mixed, miscellaneous, various, to mix",6
6830,再生,再生,zàishēng,"be reborn, regenerate",6
6831,再說,再说,zàishuō,"furthermore, besides",6
6832,遭到,遭到,zāodào,"endure, encounter, meet with, run into, suffer, soak_up",6
6833,遭受,遭受,zāoshòu,suffer,6
6834,遭遇,遭遇,zāoyù,"meet with, encounter",6
6835,早晚,早晚,zǎowǎn,"morning and evening, sooner or later",6
6836,增進,增进,zēngjìn,"enhance, promote, further",6
6837,扎,扎,zhā,"variant of 紮|扎[zha1], penetrating (as of cold), struggle, to tie, to bind, classifier for flowers, banknotes etc: bundle, Taiwan pr. [zha2]",6
6838,增值,增值,zēngzhí,"to appreciate (financially), to increase in value, value-added (accountancy)",6
6839,炸彈,炸弹,zhàdàn,"bomb, CL:枚[mei2],顆|颗[ke1]",6
6840,扎實,扎实,zhāshi,"strong, solid, sturdy, firm, practical, see 扎實|扎实[zha1 shi5]",6
6841,炸,炸,zhà,"to deep fry, to explode",6
6842,債,债,zhài,"debt, CL:筆|笔[bi3]",6
6843,炸藥,炸药,zhàyào,explosive (material),6
6844,占據,占据,zhànjù,"inhabit, occupy, stand, assume, prevail, hold, invade, occupation, take, take up",6
6845,戰場,战场,zhànchǎng,"field of battle, plain, theatre, camp, cockpit, battlefield, theater, battleground, field, battlefront",6
6846,戰術,战术,zhànshù,"tactical, war, tactics, military tactics, tactic, swordcraft",6
6847,戰略,战略,zhànlüè,"stratagem, tactical, strategics, tactics, strategy",6
6848,戰友,战友,zhànyǒu,"comrade-in-arms, battle companion",6
6849,章,章,zhāng,m.[general],6
6850,站臺,站台,zhàntái,platform (at a railway station),6
6851,掌聲,掌声,zhǎngshēng,"clapping, applause",6
